#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S1585,2455478.64684,0.875,0.046,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S400,2455478.64684,0.345,0.041,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1580,2455478.64684,1.169,0.036,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S377,2455478.64684,0.595,0.047,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S183,2455478.64684,-0.959,0.139,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S192,2455478.64684,-0.819,0.094,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1962,2455478.64684,0.002,0.092,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1961,2455478.64684,0.583,0.202,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2215,2455478.64684,-0.202,0.031,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S722,2455478.64684,-0.537,0.009,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S506,2455478.64684,-1.446,0.046,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2210,2455478.64684,1.470,0.075,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S689,2455478.64684,1.262,0.024,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S714,2455478.64684,-0.222,0.014,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1486,2455478.64684,1.650,0.039,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S466,2455478.64684,-1.059,0.035,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S681,2455478.64684,0.107,0.010,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2067,2455478.64684,-0.279,0.016,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2066,2455478.64684,0.098,0.017,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2065,2455478.64684,0.910,0.030,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1782,2455478.64684,-0.757,0.010,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S458,2455478.64684,-0.744,0.078,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S222,2455478.64684,-1.477,0.060,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1702,2455478.64684,-1.746,0.014,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-AC810,2455478.64684,-1.709,0.058,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-AC812,2455478.64684,-1.785,0.104,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S455,2455478.64684,-0.498,0.058,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S432,2455478.64684,-0.586,0.077,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S195,2455478.64684,-0.570,0.114,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S499,2455478.64684,1.154,0.099,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2195,2455478.64684,-1.238,0.044,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S447,2455478.64684,0.838,0.190,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1599,2455478.64684,0.205,0.030,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S211,2455478.64684,-2.200,0.043,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S188,2455478.64684,-0.795,0.093,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
