#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S677,2455499.67436,-0.641,0.006,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1359,2455499.67436,-1.689,0.032,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1357,2455499.67436,-2.329,0.091,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1354,2455499.67436,-1.612,0.050,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1733,2455499.67436,0.358,0.023,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1351,2455499.67436,-1.491,0.171,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1350,2455499.67436,-1.647,0.042,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S217,2455499.67436,-1.508,0.056,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2025,2455499.67436,0.049,0.029,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S153,2455499.67436,-2.253,0.048,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-AC307,2455499.67436,-2.802,0.127,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1585,2455499.67436,0.972,0.036,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S400,2455499.67436,0.263,0.039,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1580,2455499.67436,1.156,0.034,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S377,2455499.67436,0.510,0.060,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S183,2455499.67436,-1.074,0.124,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S192,2455499.67436,-0.911,0.079,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1962,2455499.67436,-0.216,0.080,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1961,2455499.67436,0.475,0.210,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2215,2455499.67436,-0.326,0.027,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S722,2455499.67436,-0.567,0.008,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S506,2455499.67436,-1.455,0.053,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2210,2455499.67436,1.403,0.069,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S689,2455499.67436,1.261,0.021,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S714,2455499.67436,-0.255,0.014,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1486,2455499.67436,1.575,0.029,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S466,2455499.67436,-1.145,0.035,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S681,2455499.67436,0.048,0.008,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2067,2455499.67436,-0.322,0.015,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2066,2455499.67436,0.051,0.017,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2065,2455499.67436,0.851,0.022,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1782,2455499.67436,-0.753,0.010,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S458,2455499.67436,-0.776,0.084,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S222,2455499.67436,-1.508,0.056,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1702,2455499.67436,-1.760,0.013,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
