#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S189,2455498.60009,-0.492,0.075,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1083,2455498.60009,0.345,0.025,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S426,2455498.60009,0.664,0.390,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S405,2455498.60009,-1.167,0.041,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S387,2455498.60009,0.786,0.042,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1983,2455498.60009,-0.279,0.114,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S187,2455498.60009,-2.023,0.020,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S710,2455498.60009,-1.891,0.004,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S423,2455498.60009,-1.414,0.041,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S677,2455498.60009,-0.631,0.006,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1359,2455498.60009,-1.684,0.033,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1357,2455498.60009,-2.136,0.097,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1354,2455498.60009,-1.594,0.050,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
